frame,timestamp,hand_idx,landmark_idx,x,y,z,x_rel,y_rel,z_rel
175,1776361269.5498,0,0,0.595596,0.719790,0.000000,0.000000,0.000000,0.000000
175,1776361269.5498,0,1,0.581708,0.645626,0.006314,-0.013888,-0.074165,0.006314
175,1776361269.5498,0,2,0.603422,0.587120,0.007310,0.007826,-0.132671,0.007310
175,1776361269.5498,0,3,0.638226,0.551465,0.008979,0.042629,-0.168325,0.008979
175,1776361269.5498,0,4,0.662246,0.533311,0.011006,0.066649,-0.186479,0.011006
175,1776361269.5498,0,5,0.634343,0.590682,-0.012432,0.038747,-0.129108,-0.012432
175,1776361269.5498,0,6,0.665091,0.545548,-0.002306,0.069495,-0.174242,-0.002306
175,1776361269.5498,0,7,0.667890,0.527754,0.010292,0.072294,-0.192037,0.010292
175,1776361269.5498,0,8,0.667713,0.521271,0.018782,0.072116,-0.198519,0.018782
175,1776361269.5498,0,9,0.659911,0.616770,-0.012892,0.064315,-0.103020,-0.012892
175,1776361269.5498,0,10,0.677648,0.579780,0.007334,0.082052,-0.140010,0.007334
175,1776361269.5498,0,11,0.663922,0.580135,0.025990,0.068325,-0.139656,0.025990
175,1776361269.5498,0,12,0.653117,0.592728,0.035636,0.057521,-0.127062,0.035636
175,1776361269.5498,0,13,0.677049,0.644612,-0.010411,0.081453,-0.075178,-0.010411
175,1776361269.5498,0,14,0.687095,0.608080,0.010540,0.091498,-0.111710,0.010540
175,1776361269.5498,0,15,0.674517,0.609424,0.025976,0.078921,-0.110366,0.025976
175,1776361269.5498,0,16,0.664954,0.622604,0.031794,0.069357,-0.097186,0.031794
175,1776361269.5498,0,17,0.688430,0.670023,-0.007781,0.092834,-0.049767,-0.007781
175,1776361269.5498,0,18,0.696002,0.636405,0.010326,0.100406,-0.083385,0.010326
175,1776361269.5498,0,19,0.685309,0.637507,0.022847,0.089713,-0.082284,0.022847
175,1776361269.5498,0,20,0.676350,0.649025,0.029546,0.080753,-0.070765,0.029546
175,1776361269.5498,1,0,0.774875,0.671544,-0.000000,0.000000,0.000000,0.000000
175,1776361269.5498,1,1,0.777191,0.636675,-0.001070,0.002316,-0.034869,-0.001070
175,1776361269.5498,1,2,0.791857,0.603413,-0.010225,0.016983,-0.068132,-0.010225
175,1776361269.5498,1,3,0.803496,0.585879,-0.023304,0.028621,-0.085666,-0.023304
175,1776361269.5498,1,4,0.812052,0.576386,-0.036982,0.037177,-0.095158,-0.036982
175,1776361269.5498,1,5,0.821705,0.586798,-0.009677,0.046830,-0.084746,-0.009677
175,1776361269.5498,1,6,0.848007,0.565507,-0.030386,0.073132,-0.106037,-0.030386
175,1776361269.5498,1,7,0.843456,0.549605,-0.043596,0.068581,-0.121939,-0.043596
175,1776361269.5498,1,8,0.833024,0.544316,-0.050572,0.058150,-0.127228,-0.050572
175,1776361269.5498,1,9,0.829528,0.604480,-0.021396,0.054653,-0.067065,-0.021396
175,1776361269.5498,1,10,0.857115,0.579216,-0.049943,0.082240,-0.092328,-0.049943
175,1776361269.5498,1,11,0.840382,0.569007,-0.064857,0.065508,-0.102538,-0.064857
175,1776361269.5498,1,12,0.821828,0.571752,-0.070117,0.046953,-0.099793,-0.070117
175,1776361269.5498,1,13,0.834939,0.626186,-0.033949,0.060065,-0.045358,-0.033949
175,1776361269.5498,1,14,0.861264,0.604512,-0.057761,0.086389,-0.067033,-0.057761
175,1776361269.5498,1,15,0.843475,0.595326,-0.064021,0.068600,-0.076219,-0.064021
175,1776361269.5498,1,16,0.823843,0.599355,-0.064099,0.048968,-0.072189,-0.064099
175,1776361269.5498,1,17,0.838105,0.652008,-0.047499,0.063230,-0.019536,-0.047499
175,1776361269.5498,1,18,0.863528,0.639085,-0.063354,0.088653,-0.032459,-0.063354
175,1776361269.5498,1,19,0.857656,0.628091,-0.067233,0.082781,-0.043454,-0.067233
175,1776361269.5498,1,20,0.845840,0.626121,-0.067890,0.070965,-0.045423,-0.067890
180,1776361270.2580,0,0,0.669187,0.830190,-0.000000,0.000000,0.000000,0.000000
